%time,field.header.seq,field.header.stamp,field.header.frame_id,field.robot_pos.x,field.robot_pos.y,field.robot_pos.theta,field.goal.x,field.goal.y,field.goal.z,field.dist_from_goal,field.collision.x,field.collision.y,field.collision.z,field.iteration,field.event
305833000000,42,305833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
305933000000,43,305933000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306032000000,44,306032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306132000000,45,306132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306233000000,46,306233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306332000000,47,306332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306432000000,48,306432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306532000000,49,306532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306632000000,50,306632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306732000000,51,306732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306832000000,52,306832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
306932000000,53,306932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307032000000,54,307032000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307132000000,55,307132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307233000000,56,307233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307332000000,57,307332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307432000000,58,307432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307532000000,59,307532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307633000000,60,307633000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307732000000,61,307732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307832000000,62,307832000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
307932000000,63,307932000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308036000000,64,308036000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308132000000,65,308132000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308233000000,66,308233000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308332000000,67,308332000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308432000000,68,308432000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308532000000,69,308532000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308632000000,70,308632000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308732000000,71,308732000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
308833000000,72,308833000000,,0.0,0.0,0.0,7.32999992371,1.75,0.0,0.0,-100000.0,-100000.0,0.0,1,
